ID,Name,Team,Region,Position,Cost,Predicted_Points,xMins,Opponent,Score,Assist,Goal_Involvement,Clean_Sheet,Projected_Goals
617,Evanilson,Bournemouth,30,Forward,5.9,3.94,75,Arsenal (H),0.042,0.036,0.076,0.144,0.054
618,Georginio,Brighton,73,Midfielder,5.5,3.68,75,Newcastle (A),0.047,0.04,0.085,0.17,0.06
619,Cajuste,Ipswich,206,Midfielder,4.5,0.1,10,Everton (H),0.0,0.0,0.0,0.0,0.0
620,Sosa,Nott'm Forest,168,Midfielder,5.5,0.08,4,Crystal Palace (H),0.0,0.0,0.0,0.0,0.0
623,M.Fernandes,Southampton,173,Midfielder,5.0,3.01,72,Leicester (H),0.048,0.042,0.088,0.268,0.062
624,Begovic,Everton,27,Goalkeeper,4.0,0.0,0,Ipswich (A),0.0,0.0,0.0,0.0,0.0
625,Gündogan,Man City,80,Midfielder,6.5,3.03,56,Wolves (A),0.056,0.048,0.102,0.426,0.072
627,Dixon,Everton,241,Defender,4.0,0.04,9,Ipswich (A),0.0,0.0,0.0,0.0,0.0
628,F.Kadıoğlu,Brighton,219,Defender,4.5,0.89,39,Newcastle (A),0.0,0.0,0.0,0.0,0.0
630,O'Shea,Ipswich,104,Defender,4.0,3.62,90,Everton (H),0.071,0.074,0.14,0.276,0.081
631,J.Clarke,Ipswich,241,Midfielder,5.5,2.54,56,Everton (H),0.048,0.042,0.088,0.276,0.062
632,Ogbene,Ipswich,104,Midfielder,5.0,1.61,34,Everton (H),0.064,0.049,0.109,0.114,0.074
633,Merino,Arsenal,200,Midfielder,6.0,0.1,10,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
634,G.Nunes,Brentford,30,Midfielder,4.9,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
637,Meupiyou,Wolves,73,Defender,4.0,0.0,0,Man City (H),0.0,0.0,0.0,0.0,0.0
638,Oulad M'hand,Arsenal,152,Midfielder,4.5,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
639,Setford,Arsenal,241,Goalkeeper,4.5,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
640,Swinkels,Aston Villa,152,Defender,4.0,0.0,0,Fulham (A),0.0,0.0,0.0,0.0,0.0
641,Zych,Aston Villa,172,Goalkeeper,4.0,0.0,0,Fulham (A),0.0,0.0,0.0,0.0,0.0
642,André,Wolves,30,Midfielder,5.0,2.54,78,Man City (H),0.038,0.033,0.07,0.094,0.049
643,Casey,West Ham,241,Defender,4.0,0.0,0,Spurs (A),0.0,0.0,0.0,0.0,0.0
644,Umeh-Chibueze,Crystal Palace,104,Midfielder,4.5,0.0,0,Nott'm Forest (A),0.0,0.0,0.0,0.0,0.0
645,Devenny,Crystal Palace,242,Midfielder,4.5,0.0,0,Nott'm Forest (A),0.0,0.0,0.0,0.0,0.0
646,Agbinone,Crystal Palace,241,Midfielder,4.5,0.0,0,Nott'm Forest (A),0.0,0.0,0.0,0.0,0.0
647,Rodney,Crystal Palace,241,Midfielder,4.5,0.0,0,Nott'm Forest (A),0.0,0.0,0.0,0.0,0.0
648,Wheatley,Man Utd,241,Forward,4.5,0.0,0,Brentford (H),0.0,0.0,0.0,0.0,0.0
649,Meghoma,Brentford,241,Defender,4.0,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
650,Lacroix,Crystal Palace,73,Defender,4.5,2.84,90,Nott'm Forest (A),0.044,0.038,0.081,0.268,0.057
651,Mangala,Everton,21,Midfielder,5.0,2.41,77,Ipswich (A),0.064,0.056,0.116,0.234,0.072
653,Morato,Nott'm Forest,30,Defender,4.5,0.0,0,Crystal Palace (H),0.0,0.0,0.0,0.0,0.0
654,C.Soler,West Ham,200,Midfielder,5.0,1.07,25,Spurs (A),0.0,0.0,0.0,0.0,0.0
655,Forbs,Wolves,173,Midfielder,5.5,1.25,26,Man City (H),0.0,0.0,0.0,0.0,0.0
656,Young,Aston Villa,241,Midfielder,4.5,0.0,0,Fulham (A),0.0,0.0,0.0,0.0,0.0
657,Kacurri,Arsenal,2,Defender,4.0,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
658,Heaven,Arsenal,241,Defender,4.0,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
659,Kabia,Arsenal,152,Midfielder,4.5,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
660,Jaros,Liverpool,57,Goalkeeper,4.0,0.0,0,Chelsea (H),0.0,0.0,0.0,0.0,0.0
661,Yogane,Brentford,241,Midfielder,4.5,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
662,Nichols,Arsenal,241,Defender,4.0,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
663,Samuels,Brighton,241,Defender,4.0,0.0,0,Newcastle (A),0.0,0.0,0.0,0.0,0.0
664,Pond,Wolves,241,Defender,4.0,0.0,0,Man City (H),0.0,0.0,0.0,0.0,0.0
665,Butler-Oyedeji,Arsenal,241,Forward,4.5,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
666,Kporha,Crystal Palace,241,Defender,4.0,0.0,0,Nott'm Forest (A),0.0,0.0,0.0,0.0,0.0
