ID,Name,Team,Region,Position,Cost,Predicted_Points,xMins,Opponent,Score,Assist,Goal_Involvement,Clean_Sheet,Projected_Goals
268,Delap,Ipswich,241,Forward,5.6,4.1,79,Everton (H),0.048,0.042,0.088,0.276,0.062
270,Greaves,Ipswich,241,Defender,4.1,3.59,90,Everton (H),0.048,0.042,0.088,0.276,0.062
272,Hirst,Ipswich,241,Forward,5.4,0.29,11,Everton (H),0.0,0.0,0.0,0.0,0.0
275,Johnson,Ipswich,241,Defender,4.0,0.91,24,Everton (H),0.055,0.022,0.075,0.276,0.063
277,Luongo,Ipswich,13,Midfielder,4.5,0.07,8,Everton (H),0.029,0.025,0.053,0.165,0.037
278,Morsy,Ipswich,63,Midfielder,4.9,3.02,90,Everton (H),0.048,0.042,0.088,0.276,0.062
280,Slicker,Ipswich,243,Goalkeeper,4.0,0.0,0,Everton (H),0.0,0.0,0.0,0.0,0.0
282,Tuanzebe,Ipswich,50,Defender,4.0,2.93,66,Everton (H),0.017,0.015,0.031,0.096,0.022
284,Woolfenden,Ipswich,241,Defender,4.0,0.0,0,Everton (H),0.043,0.037,0.079,0.246,0.056
287,Choudhury,Leicester,241,Midfielder,4.4,0.0,0,Southampton (A),0.0,0.0,0.0,0.0,0.0
288,Coady,Leicester,241,Defender,4.0,0.0,0,Southampton (A),0.0,0.0,0.0,0.0,0.0
291,Faes,Leicester,21,Defender,4.1,2.93,90,Southampton (A),0.047,0.04,0.085,0.234,0.06
292,Golding,Leicester,241,Midfielder,4.4,0.0,0,Southampton (A),0.0,0.0,0.0,0.0,0.0
293,Hermansen,Leicester,58,Goalkeeper,4.5,3.52,90,Southampton (A),0.047,0.04,0.085,0.234,0.06
294,Iversen,Leicester,58,Goalkeeper,4.0,0.0,0,Southampton (A),0.0,0.0,0.0,0.0,0.0
295,Justin,Leicester,241,Defender,4.6,3.06,90,Southampton (A),0.047,0.04,0.085,0.234,0.06
298,Mavididi,Leicester,241,Midfielder,5.3,3.69,71,Southampton (A),0.047,0.04,0.085,0.234,0.06
300,Ndidi,Leicester,157,Midfielder,5.0,2.98,90,Southampton (A),0.047,0.04,0.085,0.234,0.06
301,Okoli,Leicester,106,Defender,4.0,2.94,90,Southampton (A),0.047,0.04,0.085,0.234,0.06
304,Stolarczyk,Leicester,172,Goalkeeper,4.0,0.0,0,Southampton (A),0.0,0.0,0.0,0.0,0.0
306,Vardy,Leicester,241,Forward,5.7,4.32,85,Southampton (A),0.047,0.04,0.085,0.234,0.06
