Team,Cost,Predicted_Points
Liverpool,1.5,15.4
Aston Villa,0.8,14.8
Brighton,1.1,9.4
Arsenal,1.5,8.1
Fulham,1.1,11.3
West Ham,0.5,10.6
Chelsea,1.5,5.3
Spurs,1.1,5.2
Wolves,0.8,3.1
Man City,1.5,6.0
Bournemouth,1.1,7.4
Crystal Palace,0.8,6.3
Man Utd,0.8,4.9
Brentford,0.8,4.7
Leicester,0.5,4.0
Ipswich,0.5,5.0
Newcastle,1.5,4.2
Southampton,0.5,5.5
Everton,0.5,3.4
Nott'm Forest,1.1,4.1
